sim_num,mse_mean_healthy,mse_mean_diseased,mse_std_healthy,mse_std_diseased,n_samples,simulation_time,ka0,kv0,ka1,kv1,n_features_selected_0,n_features_selected_1,cache_hit_rate_0,cache_hit_rate_1
46,0.013316388,0.25613594,0.0064367647,0.060267676,5000,0.8811237812042236,75,50,5,100,1,1,0,0
47,0.066233486,0.40260893,0.0057793865,0.10097525,5000,0.9076919555664062,50,100,10,100,1,1,0,0
48,0.065637685,0.39421064,0.0038219376,0.19780993,5000,0.9157538414001465,50,75,10,75,1,1,0,0
49,0.019082883,0.25088966,0.006154209,0.07356339,5000,0.7997167110443115,50,100,10,50,1,1,0,0
50,0.057876613,0.50931406,0.011407358,0.022850767,5000,0.7504639625549316,75,100,10,100,1,1,0,0
51,0.062136937,1.362656,0.0136399185,0.57913244,5000,0.8149158954620361,75,50,15,100,1,1,0,0
52,0.07573177,0.40578106,0.029305395,0.102458775,5000,0.8715798854827881,50,20,10,100,1,1,0,0
53,0.060440343,0.29090726,0.0017609253,0.1174791,5000,0.8429808616638184,75,100,10,75,1,1,0,0
54,0.00817671,0.48578653,0.0071449745,0.12414436,5000,0.764786958694458,75,100,10,50,1,1,0,0
55,0.08006356,0.27090892,0.026439624,0.05550638,5000,0.7824640274047852,50,20,10,100,1,1,0,0
56,0.06670733,0.3609464,0.0055711176,0.0843294,5000,0.8037340641021729,50,100,10,75,1,1,0,0
57,0.01434683,0.29984507,0.004318977,0.035111748,5000,0.7170770168304443,50,100,5,50,1,1,0,0
58,0.017073413,0.38691294,0.013182566,0.088354826,5000,0.9004170894622803,100,75,5,100,1,1,0,0
59,0.0679345,0.25725663,0.0034196076,0.025766436,5000,0.7378277778625488,50,50,5,100,1,1,0,0
60,0.012241897,0.34611455,0.0044431,0.21543345,5000,0.883878231048584,100,100,5,30,1,1,0,0
61,0.020474741,0.41440713,0.0012947351,0.14644793,5000,1.025498867034912,100,100,10,100,1,1,0,0
62,0.014404223,0.2456852,0.02200894,0.0725937,5000,0.72731614112854,50,100,5,100,1,1,0,0
63,0.0135009065,0.26271117,0.005009017,0.07293257,5000,0.7689058780670166,75,75,10,75,1,1,0,0
